week,Location,id,level
35,UK & Ireland,2006,0.011274962778438521
35,UK & Ireland,2008,0.01203429808798832
35,CEE,1991,0.5697784103705816
35,CEE,1997,0.5721018259887068
35,CEE,2000,0.6537893256347556
35,CEE,2002,0.46485279917723543
35,CEE,2006,0.633425774298655
35,CEE,2008,0.582390097709688
35,CWE,1991,6.149121750033631
35,CWE,1997,6.101607884407418
35,CWE,2000,5.81297933797358
35,CWE,2002,5.769286159035521
35,CWE,2006,5.98583762831512
35,CWE,2008,5.7110652298721325
35,Iberia,1991,9.014421352258923
35,Iberia,1997,6.159938737891409
35,Iberia,2000,5.774742876518486
35,Iberia,2002,5.1465282275223245
35,Iberia,2006,5.132912970977084
35,Iberia,2008,8.399398398200152
35,Italy,1991,3.2042042695123447
35,Italy,1997,3.205661861598265
35,Italy,2000,3.2025035685579777
35,Italy,2002,3.2040779981549417
35,Italy,2006,3.0432208140615584
35,Italy,2008,3.1930044571304625
35,Northern,1991,50.17812794745851
35,Northern,1997,70.35220926858678
35,Northern,2000,95.70386025126514
35,Northern,2002,78.6841304719513
35,Northern,2006,42.566336425000685
35,Northern,2008,64.14618242975124
35,SEE,1991,3.2351554037300927
35,SEE,1997,3.258418402770105
35,SEE,2000,3.1462509481731136
35,SEE,2002,2.882587890972586
35,SEE,2006,3.3679865067167603
35,SEE,2008,3.232169082205
36,UK & Ireland,1991,0.011967739823663552
36,UK & Ireland,1997,0.013849989166009827
36,UK & Ireland,2000,0.013298283349932846
36,UK & Ireland,2002,0.012336239071839984
36,UK & Ireland,2006,0.014264837453373164
36,UK & Ireland,2008,0.012671458698127086
36,CEE,1991,0.5694858107284181
36,CEE,1997,0.5759557291911499
36,CEE,2000,0.6491176314243569
36,CEE,2002,0.4595190119373118
36,CEE,2006,0.6570058566479049
36,CEE,2008,0.560781727779398
36,CWE,1991,6.032600027772936
36,CWE,1997,6.290042174150449
36,CWE,2000,5.909448938925698
36,CWE,2002,5.825268980023126
36,CWE,2006,6.050027756274889
36,CWE,2008,5.867154675432812
36,Iberia,1991,8.593732565565947
36,Iberia,1997,5.705258333910197
36,Iberia,2000,5.313784784709444
36,Iberia,2002,4.689209744143583
36,Iberia,2006,4.592924707974094
36,Iberia,2008,8.152831460500302
36,Italy,1991,3.204983717532025
36,Italy,1997,3.2039202799001156
36,Italy,2000,3.199821613830927
36,Italy,2002,3.20291505764445
36,Italy,2006,3.0448081765363324
36,Italy,2008,3.2034381353919246
36,Northern,1991,50.95792203064053
36,Northern,1997,70.9587865347605
36,Northern,2000,96.5089495146427
36,Northern,2002,79.56800163894464
36,Northern,2006,44.36952742363921
36,Northern,2008,64.70178645876507
36,SEE,1991,3.120875841106211
36,SEE,1997,3.1231081999625694
36,SEE,2000,3.006888136309636
36,SEE,2002,2.750718788570923
36,SEE,2006,3.2444922576436697
36,SEE,2008,3.08637983511029
37,UK & Ireland,1991,0.012147940996570778
37,UK & Ireland,1997,0.014513808911279994
37,UK & Ireland,2000,0.012063028320324052
37,UK & Ireland,2002,0.012757122889592305
37,UK & Ireland,2006,0.013481493213206224
37,UK & Ireland,2008,0.012842349272110523
37,CEE,1991,0.5649263066628996
37,CEE,1997,0.5736371123898693
37,CEE,2000,0.6392096699079464
37,CEE,2002,0.44459994286069376
37,CEE,2006,0.6497521605223542
37,CEE,2008,0.5475013328206111
37,CWE,1991,5.800949936576928
37,CWE,1997,6.353008507162175
37,CWE,2000,5.601094014229051
37,CWE,2002,5.856786037620923
37,CWE,2006,5.977017126208788
37,CWE,2008,5.921783246281583
37,Iberia,1991,8.260722563762801
37,Iberia,1997,5.183473324236078
37,Iberia,2000,4.76795088453868
37,Iberia,2002,4.2496960644397905
37,Iberia,2006,4.089768059504283
37,Iberia,2008,7.919748416711365
37,Italy,1991,3.201081239872609
37,Italy,1997,3.2021949410300223
37,Italy,2000,3.156449316480125
37,Italy,2002,3.206485898038304
37,Italy,2006,3.0585317692043503
37,Italy,2008,3.2042483388448795
37,Northern,1991,51.71241374917495
37,Northern,1997,71.6631566695572
37,Northern,2000,97.22245778150717
37,Northern,2002,80.11908952344716
37,Northern,2006,45.25486008610952
37,Northern,2008,64.84168229577855
37,SEE,1991,3.0190964309656514
37,SEE,1997,3.018269489161296
37,SEE,2000,2.907676471102437
37,SEE,2002,2.6608735489562827
37,SEE,2006,3.13889122781892
37,SEE,2008,2.9528711438961843
38,UK & Ireland,1991,0.011871892527261582
38,UK & Ireland,1997,0.014971987511251679
38,UK & Ireland,2000,0.01306863147148227
38,UK & Ireland,2002,0.01360786444565287
38,UK & Ireland,2006,0.012780506111305144
38,UK & Ireland,2008,0.015206383160030902
38,CEE,1991,0.567801744659492
38,CEE,1997,0.5782331264496517
38,CEE,2000,0.6525340779231761
38,CEE,2002,0.4315453674137772
38,CEE,2006,0.6694848495017609
38,CEE,2008,0.5708364575607925
38,CWE,1991,5.632098382963704
38,CWE,1997,6.200397269377229
38,CWE,2000,5.553273359202821
38,CWE,2002,5.838280659816579
38,CWE,2006,5.897133876606757
38,CWE,2008,5.946346919276838
38,Iberia,1991,7.865849452963314
38,Iberia,1997,4.574832209287117
38,Iberia,2000,4.275792808337941
38,Iberia,2002,4.059560261988702
38,Iberia,2006,3.8105275657637745
38,Iberia,2008,7.599334057182043
38,Italy,1991,3.191968331176909
38,Italy,1997,3.1725718195894883
38,Italy,2000,3.178902587728356
38,Italy,2002,3.204304847958382
38,Italy,2006,3.15111517843727
38,Italy,2008,3.2055209003291076
38,Northern,1991,52.75504408354343
38,Northern,1997,72.46253445777883
38,Northern,2000,96.54798148558083
38,Northern,2002,80.0901995294713
38,Northern,2006,45.63644830991583
38,Northern,2008,64.33707346899257
38,SEE,1991,2.925951620077425
38,SEE,1997,2.9228805560874376
38,SEE,2000,2.811458249970214
38,SEE,2002,2.561248582125617
38,SEE,2006,3.0792662374538655
38,SEE,2008,2.871653094972496
39,UK & Ireland,1991,0.013129797190712278
39,UK & Ireland,1997,0.011923290824662994
39,UK & Ireland,2000,0.012736713500419388
39,UK & Ireland,2002,0.011184162357831448
39,UK & Ireland,2006,0.01168965538443514
39,UK & Ireland,2008,0.009259082699907571
39,CEE,1991,0.5566392239248216
39,CEE,1997,0.5456005855406656
